id;latitude;longitude;scientific_name;common_name;taxon_id;year
40253208;10.83642972;-85.62019806;Odocoileus virginianus;Venado de cola blanca;42223;2020
40253796;10.77975139;-85.66427472;Odocoileus virginianus;Venado de cola blanca;42223;2020
40405495;10.83664333;-85.621115;Odocoileus virginianus;Venado de cola blanca;42223;2020
40405498;10.77935333;-85.66629167;Odocoileus virginianus;Venado de cola blanca;42223;2020
40410542;10.79099333;-85.66172833;Odocoileus virginianus;Venado de cola blanca;42223;2020
40410550;10.799445;-85.64889167;Odocoileus virginianus;Venado de cola blanca;42223;2020
41195975;10.837955;-85.61802;Odocoileus virginianus;Venado de cola blanca;42223;2019
45897887;10.83880362;-85.61851566;Odocoileus virginianus;Venado de cola blanca;42223;2009
46734724;10.83924059;-85.61845802;Odocoileus virginianus;Venado de cola blanca;42223;2019
54002995;10.837;-85.6186;Odocoileus virginianus;Venado de cola blanca;42223;2007
54710987;10.79801883;-85.65023375;Odocoileus virginianus;Venado de cola blanca;42223;2006
63850530;10.83862448;-85.61710819;Odocoileus virginianus;Venado de cola blanca;42223;2019
65298876;10.61820333;-85.68211333;Odocoileus virginianus;Venado de cola blanca;42223;2020
65530353;10.628605;-85.68525;Odocoileus virginianus;Venado de cola blanca;42223;2020
68672843;10.82722916;-85.33884121;Odocoileus virginianus;Venado de cola blanca;42223;2021
69002637;10.96184165;-85.69807528;Odocoileus virginianus;Venado de cola blanca;42223;2020
69307783;10.83633423;-85.61790466;Odocoileus virginianus;Venado de cola blanca;42223;2021
83357631;10.77341532;-85.34978013;Odocoileus virginianus;Venado de cola blanca;42223;2019
84003224;10.8906431;-85.60013;Odocoileus virginianus;Venado de cola blanca;42223;2021
90539391;10.63487116;-85.42229222;Odocoileus virginianus;Venado de cola blanca;42223;2021
91172947;10.775536;-85.34920722;Odocoileus virginianus;Venado de cola blanca;42223;2021
99172334;10.71289539;-85.59672546;Odocoileus virginianus;Venado de cola blanca;42223;2021
100467298;10.834558;-85.61314;Odocoileus virginianus;Venado de cola blanca;42223;2021
101746698;10.8337907;-85.6124961;Odocoileus virginianus;Venado de cola blanca;42223;2018
102112487;10.83911007;-85.61754033;Odocoileus virginianus;Venado de cola blanca;42223;2017
102336173;10.71435191;-85.59589994;Odocoileus virginianus;Venado de cola blanca;42223;2021
102381625;10.83824186;-85.61820965;Odocoileus virginianus;Venado de cola blanca;42223;2021
102739147;10.71455;-85.59607833;Odocoileus virginianus;Venado de cola blanca;42223;2021
103065862;10.77405232;-85.34986597;Odocoileus virginianus;Venado de cola blanca;42223;2021
103764506;10.83839904;-85.61783182;Odocoileus virginianus;Venado de cola blanca;42223;2019
